,coor_x,coor_y,event_type,coor_x_normalized,coor_y_normalized,game_id,shooting_team,shooting_team_home_or_away,shot_goal_defending_team
0,82.0,4.0,Goal,82.0,4.0,2019020003,Edmonton Oilers,Home,Vancouver Canucks
1,81.0,9.0,Goal,81.0,9.0,2019020029,Edmonton Oilers,Home,Los Angeles Kings
2,-87.0,2.0,Goal,87.0,-2.0,2019020049,Edmonton Oilers,Away,New Jersey Devils
3,88.0,-22.0,Goal,88.0,-22.0,2019020061,Edmonton Oilers,Away,New York Rangers
4,-76.0,7.0,Goal,76.0,-7.0,2019020095,Edmonton Oilers,Home,Philadelphia Flyers
5,66.0,2.0,Goal,66.0,2.0,2019020154,Edmonton Oilers,Home,Washington Capitals
6,82.0,2.0,Goal,82.0,2.0,2019020223,Edmonton Oilers,Home,Arizona Coyotes
7,83.0,10.0,Goal,83.0,10.0,2019020236,Edmonton Oilers,Home,St. Louis Blues
8,-78.0,-12.0,Goal,78.0,12.0,2019020269,Edmonton Oilers,Away,Anaheim Ducks
9,-83.0,-5.0,Goal,83.0,5.0,2019020269,Edmonton Oilers,Away,Anaheim Ducks
10,-67.0,14.0,Goal,67.0,-14.0,2019020269,Edmonton Oilers,Away,Anaheim Ducks
11,56.0,-13.0,Goal,56.0,-13.0,2019020290,Edmonton Oilers,Home,Colorado Avalanche
12,49.0,0.0,Goal,49.0,0.0,2019020290,Edmonton Oilers,Home,Colorado Avalanche
13,-52.0,19.0,Goal,52.0,-19.0,2019020290,Edmonton Oilers,Home,Colorado Avalanche
14,-86.0,11.0,Goal,86.0,-11.0,2019020330,Edmonton Oilers,Away,San Jose Sharks
15,-79.0,3.0,Goal,79.0,-3.0,2019020345,Edmonton Oilers,Away,Los Angeles Kings
16,85.0,8.0,Goal,85.0,8.0,2019020360,Edmonton Oilers,Away,Vegas Golden Knights
17,72.0,20.0,Goal,72.0,20.0,2019020360,Edmonton Oilers,Away,Vegas Golden Knights
18,-72.0,-3.0,Goal,72.0,3.0,2019020364,Edmonton Oilers,Away,Arizona Coyotes
19,69.0,-4.0,Goal,69.0,-4.0,2019020414,Edmonton Oilers,Home,Vancouver Canucks
20,69.0,-19.0,Goal,69.0,-19.0,2019020493,Edmonton Oilers,Away,Minnesota Wild
21,-83.0,-4.0,Goal,83.0,4.0,2019020561,Edmonton Oilers,Home,Montréal Canadiens
22,64.0,7.0,Goal,64.0,7.0,2019020590,Edmonton Oilers,Home,Calgary Flames
23,-67.0,4.0,Goal,67.0,-4.0,2019020641,Edmonton Oilers,Away,Boston Bruins
24,79.0,1.0,Goal,79.0,1.0,2019020659,Edmonton Oilers,Away,Toronto Maple Leafs
25,78.0,0.0,Goal,78.0,0.0,2019020700,Edmonton Oilers,Away,Calgary Flames
26,-69.0,-18.0,Goal,69.0,18.0,2019020745,Edmonton Oilers,Home,Arizona Coyotes
27,-78.0,0.0,Goal,78.0,-0.0,2019020745,Edmonton Oilers,Home,Arizona Coyotes
28,70.0,-10.0,Goal,70.0,-10.0,2019020803,Edmonton Oilers,Away,Calgary Flames
29,-67.0,17.0,Goal,67.0,-17.0,2019020803,Edmonton Oilers,Away,Calgary Flames
30,84.0,3.0,Goal,84.0,3.0,2019020837,Edmonton Oilers,Home,San Jose Sharks
31,-84.0,8.0,Goal,84.0,-8.0,2019020966,Edmonton Oilers,Away,Los Angeles Kings
32,-46.0,-5.0,Goal,46.0,5.0,2019021018,Edmonton Oilers,Away,Nashville Predators
33,84.0,5.0,Goal,84.0,5.0,2019021058,Edmonton Oilers,Home,Columbus Blue Jackets
34,-86.0,-4.0,Goal,86.0,4.0,2019021080,Edmonton Oilers,Home,Winnipeg Jets
35,-55.0,-23.0,Goal,55.0,23.0,2019030061,Edmonton Oilers,Home,Chicago Blackhawks
36,-72.0,21.0,Goal,72.0,-21.0,2019030062,Edmonton Oilers,Home,Chicago Blackhawks
37,-86.0,4.0,Goal,86.0,-4.0,2019030062,Edmonton Oilers,Home,Chicago Blackhawks
38,84.0,-21.0,Goal,84.0,-21.0,2019030062,Edmonton Oilers,Home,Chicago Blackhawks
39,-87.0,7.0,Goal,87.0,-7.0,2019030063,Edmonton Oilers,Away,Chicago Blackhawks
40,-69.0,5.0,Goal,69.0,-5.0,2020020013,Edmonton Oilers,Home,Vancouver Canucks
41,-84.0,5.0,Goal,84.0,-5.0,2020020013,Edmonton Oilers,Home,Vancouver Canucks
42,75.0,-1.0,Goal,75.0,-1.0,2020020070,Edmonton Oilers,Away,Toronto Maple Leafs
