,coor_x,coor_y,event_type,coor_x_normalized,coor_y_normalized,game_id,shooting_team,shooting_team_home_or_away,shot_goal_defending_team
0,-87.0,0.0,Goal,87.0,-0.0,2019020056,Colorado Avalanche,Home,Boston Bruins
1,55.0,-31.0,Goal,55.0,-31.0,2019020083,Colorado Avalanche,Away,Washington Capitals
2,-77.0,4.0,Goal,77.0,-4.0,2019020092,Colorado Avalanche,Away,Pittsburgh Penguins
3,-56.0,-13.0,Goal,56.0,13.0,2019020107,Colorado Avalanche,Away,Florida Panthers
4,-33.0,-1.0,Goal,33.0,1.0,2019020131,Colorado Avalanche,Away,St. Louis Blues
5,-34.0,-11.0,Goal,34.0,11.0,2019020191,Colorado Avalanche,Home,Florida Panthers
6,62.0,15.0,Goal,62.0,15.0,2019020201,Colorado Avalanche,Home,Dallas Stars
7,-53.0,-2.0,Goal,53.0,2.0,2019020244,Colorado Avalanche,Home,Nashville Predators
8,63.0,4.0,Goal,63.0,4.0,2019020276,Colorado Avalanche,Away,Winnipeg Jets
9,73.0,0.0,Goal,73.0,0.0,2019020276,Colorado Avalanche,Away,Winnipeg Jets
10,-50.0,-25.0,Goal,50.0,25.0,2019020311,Colorado Avalanche,Away,Vancouver Canucks
11,-69.0,-7.0,Goal,69.0,7.0,2019020311,Colorado Avalanche,Away,Vancouver Canucks
12,-37.0,-5.0,Goal,37.0,5.0,2019020357,Colorado Avalanche,Home,Toronto Maple Leafs
13,-80.0,-11.0,Goal,80.0,11.0,2019020387,Colorado Avalanche,Home,Edmonton Oilers
14,73.0,5.0,Goal,73.0,5.0,2019020394,Colorado Avalanche,Away,Chicago Blackhawks
15,-61.0,4.0,Goal,61.0,-4.0,2019020413,Colorado Avalanche,Home,Chicago Blackhawks
16,-63.0,-23.0,Goal,63.0,23.0,2019020434,Colorado Avalanche,Away,Toronto Maple Leafs
17,-69.0,-25.0,Goal,69.0,25.0,2019020471,Colorado Avalanche,Home,Calgary Flames
18,-66.0,10.0,Goal,66.0,-10.0,2019020500,Colorado Avalanche,Home,New Jersey Devils
19,-65.0,16.0,Goal,65.0,-16.0,2019020536,Colorado Avalanche,Away,Chicago Blackhawks
20,72.0,5.0,Goal,72.0,5.0,2019020588,Colorado Avalanche,Home,Minnesota Wild
