Team,Date,Tweet
Boston Bruins,2022-03-02 18:35:00+00:00,"Boston is well-known for the pivotal role it played in early U.S. history, its delicious seafood and its popular sports teams like the Red Sox and the Bruins.

https://t.co/UWVia5PSWb"
Boston Bruins,2022-03-02 18:26:01+00:00,"RT @BOSHockeyNow: COLUMN: While some fans may want him to stay, Jake DeBrusk is paving his way out of Boston with his recent stellar play f…"
Boston Bruins,2022-03-02 18:19:19+00:00,"RT @hockeyfights: Nick Foligno vs Sam Carrick from the Boston Bruins at Anaheim Ducks game on Mar 1, 2022 https://t.co/0lvEFFM4l2"
Boston Bruins,2022-03-02 18:16:46+00:00,"RT @olivecoverage: Are you ready for the game tonight?😜

Don't miss the Anaheim Ducks facing off to the Boston Bruins tonight at 7 pm PST,…"
Boston Bruins,2022-03-02 18:15:01+00:00,"RT @NHLdotcom: Trevor Zegras scored a power-play goal with 22 seconds left in the third period, and the Ducks won 4-3 against the Bruins.…"
Boston Bruins,2022-03-02 18:14:40+00:00,"RT @FlyersAlumni: Today in Flyers History:  On March 2, 1990, @guffaw26 was traded to the Boston Bruins. As a Flyer, Propper was a five-tim…"
Boston Bruins,2022-03-02 18:10:44+00:00,"RT @NHLdotcom: Trevor Zegras scored a power-play goal with 22 seconds left in the third period, and the Ducks won 4-3 against the Bruins.…"
Boston Bruins,2022-03-02 18:10:01+00:00,Nick Foligno Happy His Game ‘Gearing Up’ At Right Time In Bruins Season #Boston #Bruins #NHL https://t.co/WcuoFnLO8G
Boston Bruins,2022-03-02 18:07:24+00:00,"To all the Jake DeBrusk fans out there its over. Stop wishing for him to be our savior. OVAH!

https://t.co/jP6z8ftVjU"
Boston Bruins,2022-03-02 18:06:17+00:00,"The Bruins self-inflicted in the first, bounced back to tie things up, then self-inflicted again at the worst possible time.

@_TimRosenthal shares his takeaways from the B's frustrating 4-3 loss in Anaheim (Via @BostonDotCom).

https://t.co/Ol4l097udm https://t.co/G0nX42EXOG"
Boston Bruins,2022-03-02 17:59:28+00:00,RT @nhltraderumours: Jake DeBrusk is still seeking a trade from the Boston Bruins. Will the Bruins trade him or keep him for a playoff run?…
Boston Bruins,2022-03-02 17:54:41+00:00,"@theTonyFerrari If Boston ever posted a' 'Taylor Hall teaches you the nautical flags' video on their socials, I'd be forced to become a Bruins fan for life."
Boston Bruins,2022-03-02 17:44:34+00:00,[UPDATE] Boston Bruins -100 (+105) at Vegas Golden Knights -114 (-119) | Thu 21:05ET #BOSvsVGK #NHL ~ Bonuses up to $1500 https://t.co/sLYCoHsdOe
Boston Bruins,2022-03-02 17:35:26+00:00,[UPDATE] Boston Bruins +105 (+113) at Vegas Golden Knights -119 (-129) | Thu 21:05ET #BOSvsVGK #NHL ~ Bonuses up to $1500 https://t.co/OCLKjLsewF
Boston Bruins,2022-03-02 17:32:30+00:00,"RT @HackswithHaggs: Talking Points from the Boston Bruins 4-3 loss to the Anaheim Ducks: 
🚨🍎👊 Gordie Howe hat trick for Nick Foligno, who n…"
Boston Bruins,2022-03-02 17:32:17+00:00,"RT @HackswithHaggs: COLUMN: While some fans may want him to stay, Jake DeBrusk is paving his way out of Boston with his recent stellar play…"
Boston Bruins,2022-03-02 17:25:07+00:00,.@Junior_miller The Boston Bruins slid the captain between the pipes. https://t.co/0yv2gyD5Hq https://t.co/DqNR880Cbb
Boston Bruins,2022-03-02 17:24:37+00:00,"Check out this product 😍 Pastrnak &amp; Marchand '24 - Boston Hockey Political Campaign Parody T-Shirt -... 😍 
starting at $24.99 with FREE SHIPPING
Get Hype! 👉👉 https://t.co/yBKqUUF1uM https://t.co/3bNrPZ7fCA"
Boston Bruins,2022-03-02 17:20:01+00:00,Trade deadline primer: Boston Bruins #Boston #Bruins #NHL https://t.co/WWBziua2yN
Boston Bruins,2022-03-02 17:18:45+00:00,"RT @acohen3199: A personal favorite from my @Etsy shop
#hockey #bruins #boston #stickers #homersimpson #etsy

https://t.co/2D47g3Vd4n https…"
Boston Bruins,2022-03-02 17:18:32+00:00,"A personal favorite from my @Etsy shop
#hockey #bruins #boston #stickers #homersimpson #etsy

https://t.co/2D47g3Vd4n https://t.co/Wo46VOjtRE"
Boston Bruins,2022-03-02 17:16:23+00:00,"Today in Flyers History:  On March 2, 1990, @guffaw26 was traded to the Boston Bruins. As a Flyer, Propper was a five-time NHL All-Star and played in three SCFs. Later played in Finals as a Bruin and North Star. 

https://t.co/LDOyUpo3vV"
Boston Bruins,2022-03-02 17:15:07+00:00,1983–84 Boston Bruins season: The 1983–84 Boston Bruins season was the Bruins' 60th season https://t.co/wPAskdJm53 https://t.co/qR4Ewaqffx
Boston Bruins,2022-03-02 17:13:38+00:00,"RT @ShortHandedTks: 🚨EPISODE 19🚨

🎙@ShortHandedTks 
@CouchGuySports @ShockedEnergy 

➡️ DeBrusk heating up
➡️ Swayman is a walking fire as…"
Boston Bruins,2022-03-02 17:10:01+00:00,Bruins’ Bruce Cassidy Finds Positive Takeaway In 4-3 Loss To Ducks #Boston #Bruins #NHL https://t.co/E8v1vxMx6k
Boston Bruins,2022-03-02 17:09:10+00:00,Trade deadline primer: Boston Bruins https://t.co/etXhIauVs3
Boston Bruins,2022-03-02 17:09:06+00:00,"RT @BOSHockeyNow: COLUMN: While some fans may want him to stay, Jake DeBrusk is paving his way out of Boston with his recent stellar play f…"
Boston Bruins,2022-03-02 17:03:28+00:00,"Jake DeBrusk is getting hot offensively for the Boston Bruins, but it hasn't change his outlook on wanting a trade to a new destination. https://t.co/RCOcBHElV4"
Boston Bruins,2022-03-02 16:59:04+00:00,#NHL #BostonBruins #ZachSenyshyn #CraigSmith #CharlieCoyle Trade deadline primer: Boston Bruins https://t.co/WV7ka4lmnf
Boston Bruins,2022-03-02 16:48:00+00:00,3/3 vs. Boston Bruins #VegasBorn Get Tickets: https://t.co/40NorblcdA
Boston Bruins,2022-03-02 16:45:05+00:00,"Jake DeBrusk is still seeking a trade from the Boston Bruins. Will the Bruins trade him or keep him for a playoff run?

#NHLBruins #nhltraderumors #bostonbruins #nhltradedeadline

https://t.co/4ELX519k0Q"
Boston Bruins,2022-03-02 16:41:13+00:00,"RT @PlasmatikPicks: NHL 🏒🇺🇸 1-3-22

Detroit Red Wings 🆚 Carolina Hurricanes 

Over 6.5 ✅ (-110)

Anaheim Ducks 🆚 Boston Bruins

Over 5.5 ✅…"
Boston Bruins,2022-03-02 16:40:01+00:00,Bruins Notes: Fourth Line Lone Bright Spot In Tough Loss For Boston #Boston #Bruins #NHL https://t.co/dO6IBGV25s
Boston Bruins,2022-03-02 16:38:33+00:00,"Boston Bruins’ Brad Marchand, Kevan Miller operate hunting and fishing guide business in Canada https://t.co/DpxJXLn3G2 #NHL #BostonBruins"
Boston Bruins,2022-03-02 16:35:31+00:00,RT @GoalieHistory: 1997: Bill Ranford traded by Boston  Bruins to Washington Capitals. https://t.co/P7eQxS7Kzs https://t.co/BIWMDZaX6k
Boston Bruins,2022-03-02 16:31:11+00:00,"RT @SJB2021MAN: @StaceyBuzzActor 
The Ics Hockey team Boston Bruins you support has the same colours as our UK’s ‘soccer’ team Boston Unite…"
Boston Bruins,2022-03-02 16:30:55+00:00,"@StaceyBuzzActor 
The Ics Hockey team Boston Bruins you support has the same colours as our UK’s ‘soccer’ team Boston United.
You’re a pilgrim from  England in New England 👍 https://t.co/g9SzPTVPzF"
Boston Bruins,2022-03-02 16:29:19+00:00,"Buffalo Sabres vs. Boston Bruins December 27th, 1991 https://t.co/vBEPrHrFfM via @YouTube"
Boston Bruins,2022-03-02 16:21:18+00:00,"He Still Wants Out Of Boston 👀👇
https://t.co/SA25ZnHJVM"
Boston Bruins,2022-03-02 16:15:15+00:00,"RT @1stOhioBattery: Marc Roberge and Jon Lampley from @ofarevolution will perform the national anthem before Rick Nash’s jersey retirement,…"
Boston Bruins,2022-03-02 16:10:01+00:00,Bruins Wrap: Boston Can’t Complete Late Comeback In Loss Vs. Ducks #Boston #Bruins #NHL https://t.co/NStGHWLTIn
Boston Bruins,2022-03-02 16:08:06+00:00,Trade Deadline Primer: Boston Bruins https://t.co/VUZYMp9BC5
Boston Bruins,2022-03-02 16:03:32+00:00,RT @GHCardSales: We kick off the second half of the first round with a matchup between Blades from the Boston Bruins and The Raptor from th…
Boston Bruins,2022-03-02 16:02:48+00:00,Trade Deadline Primer: Boston Bruins https://t.co/sEEJ0Hvy6f https://t.co/Mx5qC3uu4E
Boston Bruins,2022-03-02 16:02:14+00:00,"@Dylan_Morrow Yes they have lost but this has been a tough division:
2017: lost to Captials
2018: lost to bruins 
2019: lost to Boston (Stanley cup runner up)
2020: lost to Columbus in the play in round
2021: lost to montreal (Stanley cup runner up)"
Boston Bruins,2022-03-02 15:56:08+00:00,"RT @BlackAndGold277: Boston Bruins Prospect Update Week Ending: February 27, 2022 

Via @BlackNGoldPod writer Dominic Tiano.
Please give Do…"
Boston Bruins,2022-03-02 15:55:47+00:00,"RT @BlackAndGold277: Why The Devils and Bruins Would Make Good Trade Partners

Via @BlackNGoldPod writer Joe Todd.
Please give Joe a follow…"
Boston Bruins,2022-03-02 15:40:05+00:00,"#Boston #Bruins: Happy 30th, @CharlieCoyle_3! ... 
 
https://t.co/jZdM8gK76S
 
#BostonBruins #Hockey #IceHockey #Massachusetts #NationalHockeyLeague #Nhl #NHLEasternConference #NHLEasternConferenceAtlanticDivision https://t.co/yV6gcyEb7o"
