Team,Positive_tweet,Negative_tweet,Neutral_tweet
0,Boston Bruins,1036,332,631
1,Buffalo Sabres,916,262,760
2,Detroit Red Wings,716,284,818
3,Florida Panthers,939,312,746
4,Montreal Canadiens,813,245,938
5,Ottawa Senators,733,400,622
6,Tampa Bay Lightning,753,212,917
7,Toronto Maple Leafs,675,384,941
8,Arizona Coyotes,693,301,606
9,Chicago Blackhawks,646,259,971
10,Colorado Avalanche,715,409,612
11,Dallas Stars,991,222,755
12,Minnesota Wild,776,294,820
13,Nashville Predators,781,220,757
14,St. Louis Blues,903,208,782
15,Winnipeg Jets,740,343,837
16,Carolina Hurricanes,742,208,949
17,Columbus Blue Jackets,640,297,694
18,New Jersey Devils,270,1040,283
19,New York Islanders,554,345,809
20,New York Rangers,931,197,695
21,Philadelphia Flyers,858,270,840
22,Pittsburgh Penguins,869,244,728
23,Washington Capitals,752,561,531
24,Anaheim Ducks,632,255,710
25,Calgary Flames,732,349,673
26,Edmonton Oilers,774,431,794
27,Los Angeles Kings,651,176,832
28,San Jose Sharks,710,283,740
29,Seattle Kraken,824,171,660
30,Vancouver Canucks,809,418,698
31,Vegas Golden Knights,745,428,751
