,Shots X coordinates,Shots Y coordinates,Goals X coordinates,Goals Y coordinates
0,32.0,2.0,86.0,0.0
1,59.0,20.0,84.0,2.0
2,42.0,29.0,83.0,5.0
3,52.0,7.0,65.0,-20.0
4,38.0,-38.0,78.0,-9.0
5,76.0,14.0,59.0,-24.0
6,63.0,31.0,54.0,1.0
7,78.0,-13.0,86.0,8.0
8,32.0,-34.0,40.0,-16.0
9,80.0,4.0,81.0,-4.0
10,64.0,-24.0,40.0,11.0
11,45.0,41.0,80.0,-3.0
12,41.0,34.0,40.0,0.0
13,62.0,19.0,72.0,18.0
14,81.0,-1.0,64.0,-20.0
15,56.0,-23.0,58.0,9.0
16,43.0,9.0,46.0,6.0
17,37.0,-31.0,70.0,-18.0
18,35.0,-38.0,65.0,-7.0
19,45.0,21.0,71.0,10.0
20,12.0,-10.0,84.0,-2.0
21,58.0,17.0,72.0,2.0
22,57.0,-22.0,76.0,-17.0
23,86.0,-9.0,77.0,11.0
24,60.0,-1.0,72.0,-19.0
25,45.0,-22.0,74.0,-9.0
26,29.0,21.0,87.0,-6.0
27,33.0,25.0,47.0,16.0
28,56.0,15.0,78.0,-10.0
29,68.0,25.0,81.0,4.0
30,67.0,-19.0,50.0,-7.0
31,70.0,-23.0,82.0,-3.0
32,62.0,-11.0,80.0,-4.0
33,59.0,21.0,84.0,9.0
34,66.0,41.0,86.0,6.0
35,62.0,26.0,54.0,-6.0
36,80.0,-7.0,71.0,-5.0
37,32.0,-31.0,57.0,-10.0
38,59.0,20.0,81.0,-12.0
39,74.0,-3.0,85.0,6.0
40,81.0,-1.0,69.0,2.0
41,81.0,-16.0,75.0,-11.0
42,56.0,-14.0,57.0,-14.0
43,88.0,-7.0,38.0,10.0
44,84.0,-5.0,80.0,-7.0
45,13.0,-35.0,66.0,12.0
46,87.0,-9.0,68.0,-19.0
47,56.0,-11.0,83.0,-0.0
48,33.0,33.0,66.0,1.0
49,36.0,36.0,56.0,-8.0
50,64.0,1.0,80.0,-12.0
51,36.0,-23.0,70.0,4.0
52,49.0,3.0,85.0,-5.0
53,81.0,1.0,84.0,14.0
54,81.0,-8.0,57.0,-2.0
55,56.0,4.0,,
56,6.0,-16.0,,
57,86.0,-27.0,,
58,72.0,-14.0,,
59,84.0,-16.0,,
60,71.0,-18.0,,
61,67.0,-7.0,,
62,73.0,-27.0,,
63,67.0,10.0,,
64,76.0,8.0,,
65,57.0,-0.0,,
66,73.0,-19.0,,
67,42.0,-29.0,,
68,81.0,-16.0,,
69,78.0,13.0,,
70,68.0,9.0,,
71,59.0,22.0,,
72,78.0,-13.0,,
73,79.0,-6.0,,
74,60.0,-12.0,,
75,85.0,-23.0,,
76,53.0,32.0,,
77,76.0,-7.0,,
78,77.0,-15.0,,
79,53.0,25.0,,
80,70.0,-2.0,,
81,67.0,-9.0,,
82,62.0,-10.0,,
83,30.0,-41.0,,
84,68.0,-16.0,,
85,68.0,-20.0,,
86,79.0,6.0,,
87,84.0,5.0,,
88,74.0,-29.0,,
89,84.0,-13.0,,
90,76.0,-3.0,,
91,79.0,3.0,,
92,87.0,6.0,,
93,51.0,9.0,,
94,76.0,-0.0,,
95,67.0,9.0,,
96,64.0,-26.0,,
97,81.0,-0.0,,
