,Shots X coordinates,Shots Y coordinates,Goals X coordinates,Goals Y coordinates
0,44.0,-2.0,81.0,-4.0
1,79.0,-16.0,67.0,-8.0
2,58.0,-23.0,68.0,-23.0
3,52.0,-6.0,84.0,8.0
4,57.0,-21.0,50.0,-8.0
5,77.0,-1.0,79.0,24.0
6,88.0,-18.0,67.0,-0.0
7,54.0,35.0,72.0,-1.0
8,85.0,27.0,71.0,12.0
9,77.0,1.0,61.0,-28.0
10,51.0,13.0,74.0,-12.0
11,79.0,14.0,83.0,-9.0
12,68.0,-7.0,84.0,-5.0
13,67.0,19.0,60.0,-15.0
14,68.0,-1.0,84.0,4.0
15,80.0,5.0,83.0,-2.0
16,4.0,-31.0,85.0,-5.0
17,54.0,-16.0,82.0,-2.0
18,55.0,29.0,70.0,-0.0
19,59.0,36.0,66.0,-17.0
20,66.0,36.0,62.0,2.0
21,3.0,2.0,77.0,-4.0
22,31.0,18.0,69.0,2.0
23,52.0,20.0,71.0,20.0
24,40.0,-29.0,78.0,10.0
25,78.0,-13.0,61.0,13.0
26,62.0,-15.0,76.0,12.0
27,73.0,-19.0,83.0,-2.0
28,70.0,-18.0,69.0,20.0
29,42.0,6.0,68.0,0.0
30,32.0,1.0,69.0,3.0
31,56.0,-21.0,69.0,-9.0
32,33.0,12.0,71.0,-26.0
33,40.0,12.0,81.0,-3.0
34,65.0,-5.0,68.0,9.0
35,41.0,22.0,65.0,-8.0
36,41.0,27.0,64.0,-4.0
37,45.0,20.0,78.0,-4.0
38,63.0,-12.0,31.0,34.0
39,64.0,-16.0,82.0,-10.0
40,40.0,-21.0,69.0,1.0
41,70.0,-1.0,62.0,3.0
42,56.0,-17.0,70.0,17.0
43,78.0,-8.0,65.0,15.0
44,60.0,16.0,37.0,8.0
45,60.0,-2.0,,
46,57.0,-21.0,,
47,74.0,-16.0,,
48,70.0,-24.0,,
49,69.0,-7.0,,
50,78.0,15.0,,
51,56.0,11.0,,
52,87.0,-6.0,,
53,85.0,-1.0,,
54,82.0,-6.0,,
55,82.0,-5.0,,
56,87.0,19.0,,
57,82.0,0.0,,
58,77.0,4.0,,
59,79.0,-2.0,,
60,57.0,-9.0,,
61,69.0,-13.0,,
62,51.0,-28.0,,
63,84.0,23.0,,
64,66.0,-10.0,,
65,74.0,13.0,,
66,70.0,-3.0,,
67,73.0,7.0,,
68,74.0,-25.0,,
69,39.0,17.0,,
70,66.0,11.0,,
71,57.0,-4.0,,
72,82.0,-2.0,,
73,84.0,-3.0,,
74,83.0,-0.0,,
75,49.0,15.0,,
76,40.0,10.0,,
77,77.0,3.0,,
78,75.0,5.0,,
79,74.0,-19.0,,
80,64.0,-17.0,,
81,37.0,3.0,,
82,70.0,13.0,,
83,35.0,-32.0,,
84,60.0,10.0,,
85,72.0,-12.0,,
86,79.0,0.0,,
87,53.0,-2.0,,
88,79.0,-10.0,,
89,84.0,18.0,,
90,30.0,-13.0,,
91,60.0,-16.0,,
92,58.0,18.0,,
93,66.0,-3.0,,
94,68.0,1.0,,
95,58.0,-12.0,,
96,73.0,0.0,,
97,62.0,15.0,,
98,36.0,12.0,,
99,33.0,-19.0,,
100,58.0,23.0,,
101,65.0,-20.0,,
102,40.0,13.0,,
103,76.0,15.0,,
104,65.0,-8.0,,
105,42.0,12.0,,
106,34.0,18.0,,
107,62.0,3.0,,
108,68.0,32.0,,
109,35.0,12.0,,
110,35.0,-27.0,,
111,79.0,4.0,,
112,78.0,4.0,,
113,42.0,-23.0,,
114,55.0,6.0,,
115,81.0,14.0,,
116,77.0,-6.0,,
117,40.0,-1.0,,
118,38.0,-19.0,,
119,59.0,-8.0,,
120,60.0,31.0,,
121,60.0,5.0,,
122,38.0,-9.0,,
123,53.0,32.0,,
124,53.0,-37.0,,
125,78.0,9.0,,
126,73.0,-15.0,,
127,71.0,-1.0,,
128,72.0,6.0,,
129,78.0,-8.0,,
130,50.0,-20.0,,
131,59.0,-17.0,,
132,64.0,20.0,,
133,85.0,-6.0,,
134,49.0,32.0,,
135,33.0,10.0,,
136,57.0,20.0,,
137,85.0,5.0,,
138,65.0,12.0,,
139,49.0,26.0,,
140,42.0,4.0,,
141,67.0,-3.0,,
142,80.0,-8.0,,
143,83.0,5.0,,
144,66.0,0.0,,
145,43.0,-16.0,,
146,73.0,-9.0,,
147,73.0,-25.0,,
148,76.0,-1.0,,
149,8.0,13.0,,
150,37.0,-20.0,,
151,56.0,3.0,,
152,40.0,-12.0,,
153,67.0,8.0,,
154,46.0,-21.0,,
155,63.0,33.0,,
156,45.0,-32.0,,
157,35.0,-28.0,,
158,37.0,28.0,,
159,82.0,8.0,,
160,61.0,8.0,,
161,76.0,14.0,,
162,39.0,24.0,,
163,46.0,9.0,,
164,36.0,7.0,,
165,6.0,-38.0,,
166,57.0,-2.0,,
167,61.0,-2.0,,
168,78.0,-0.0,,
169,85.0,6.0,,
170,77.0,-4.0,,
171,79.0,-7.0,,
172,61.0,-28.0,,
173,76.0,17.0,,
174,37.0,-21.0,,
175,71.0,11.0,,
176,83.0,7.0,,
177,68.0,35.0,,
178,38.0,-29.0,,
179,52.0,24.0,,
180,67.0,17.0,,
181,75.0,-10.0,,
182,86.0,-22.0,,
183,59.0,-23.0,,
184,52.0,-5.0,,
185,66.0,-17.0,,
186,67.0,14.0,,
187,88.0,-6.0,,
188,87.0,-3.0,,
189,88.0,-5.0,,
190,58.0,-12.0,,
191,85.0,15.0,,
192,74.0,26.0,,
193,67.0,3.0,,
194,69.0,-12.0,,
195,44.0,33.0,,
196,70.0,-27.0,,
197,70.0,32.0,,
198,75.0,-16.0,,
199,39.0,-3.0,,
200,74.0,16.0,,
201,69.0,31.0,,
202,76.0,-12.0,,
203,36.0,2.0,,
204,80.0,11.0,,
205,70.0,17.0,,
206,72.0,23.0,,
207,79.0,-12.0,,
208,75.0,-19.0,,
209,82.0,-14.0,,
210,61.0,6.0,,
211,71.0,-5.0,,
212,75.0,-14.0,,
213,76.0,-5.0,,
214,77.0,4.0,,
215,81.0,-4.0,,
216,81.0,-3.0,,
217,57.0,20.0,,
218,84.0,-7.0,,
219,71.0,-10.0,,
220,82.0,-7.0,,
221,50.0,-39.0,,
222,74.0,-2.0,,
223,56.0,-27.0,,
