,Shots X coordinates,Shots Y coordinates,Goals X coordinates,Goals Y coordinates
0,53.0,-20.0,80.0,2.0
1,74.0,9.0,75.0,6.0
2,52.0,16.0,84.0,-11.0
3,34.0,32.0,81.0,-3.0
4,74.0,-13.0,81.0,-13.0
5,52.0,-38.0,68.0,16.0
6,34.0,25.0,76.0,-1.0
7,57.0,33.0,40.0,-17.0
8,72.0,-0.0,86.0,4.0
9,55.0,-27.0,83.0,-24.0
10,55.0,29.0,65.0,2.0
11,41.0,-23.0,82.0,-2.0
12,34.0,30.0,69.0,5.0
13,54.0,-23.0,77.0,3.0
14,35.0,29.0,73.0,-12.0
15,60.0,-2.0,68.0,14.0
16,57.0,-11.0,82.0,-4.0
17,35.0,-33.0,85.0,-5.0
18,57.0,20.0,59.0,18.0
19,66.0,9.0,63.0,26.0
20,64.0,36.0,81.0,-0.0
21,35.0,22.0,65.0,34.0
22,59.0,-11.0,6.0,22.0
23,56.0,-13.0,76.0,13.0
24,31.0,39.0,68.0,-39.0
25,32.0,36.0,72.0,13.0
26,57.0,1.0,85.0,-6.0
27,79.0,16.0,73.0,-3.0
28,68.0,1.0,72.0,1.0
29,50.0,-3.0,46.0,-41.0
30,68.0,5.0,80.0,-1.0
31,30.0,34.0,78.0,2.0
32,83.0,-1.0,65.0,7.0
33,84.0,10.0,35.0,18.0
34,34.0,32.0,,
35,75.0,4.0,,
36,55.0,-11.0,,
37,85.0,-3.0,,
38,64.0,39.0,,
39,72.0,5.0,,
40,63.0,21.0,,
41,10.0,-0.0,,
42,41.0,-15.0,,
43,81.0,-3.0,,
44,70.0,36.0,,
45,60.0,-4.0,,
46,30.0,-31.0,,
47,80.0,2.0,,
48,75.0,-33.0,,
49,74.0,-37.0,,
50,79.0,-12.0,,
51,77.0,5.0,,
52,70.0,-18.0,,
53,46.0,0.0,,
54,41.0,24.0,,
55,64.0,-25.0,,
56,63.0,24.0,,
57,75.0,2.0,,
58,34.0,18.0,,
59,77.0,0.0,,
60,73.0,1.0,,
61,36.0,4.0,,
62,85.0,15.0,,
63,25.0,16.0,,
64,37.0,26.0,,
65,81.0,-16.0,,
66,77.0,-26.0,,
67,70.0,11.0,,
68,26.0,-1.0,,
69,36.0,-33.0,,
70,80.0,-10.0,,
71,69.0,-0.0,,
72,36.0,-27.0,,
73,37.0,22.0,,
74,74.0,-8.0,,
75,54.0,-33.0,,
76,71.0,-12.0,,
77,22.0,-33.0,,
78,54.0,24.0,,
79,77.0,3.0,,
80,65.0,-1.0,,
81,85.0,12.0,,
82,33.0,1.0,,
83,32.0,0.0,,
84,72.0,0.0,,
85,37.0,-25.0,,
86,63.0,9.0,,
87,43.0,-37.0,,
88,5.0,-3.0,,
89,54.0,15.0,,
90,37.0,-22.0,,
91,59.0,2.0,,
92,38.0,1.0,,
93,32.0,23.0,,
94,40.0,18.0,,
95,62.0,34.0,,
96,70.0,12.0,,
97,32.0,13.0,,
98,39.0,-1.0,,
99,61.0,8.0,,
100,39.0,29.0,,
101,85.0,-8.0,,
102,32.0,-18.0,,
103,81.0,1.0,,
104,51.0,16.0,,
105,69.0,5.0,,
106,81.0,5.0,,
107,80.0,-12.0,,
