,fullName,id,position,position_code
0,Jonathan Bernier,8473541,Goalie,G
1,Miles Wood,8477425,Left Wing,L
2,Mackenzie Blackwood,8478406,Goalie,G
3,Janne Kuokkanen,8479511,Center,C
4,Tyce Thompson,8481740,Right Wing,R
5,P.K. Subban,8474056,Defenseman,D
6,Tomas Tatar,8475193,Left Wing,L
7,Dougie Hamilton,8476462,Defenseman,D
8,Jon Gillies,8476903,Goalie,G
9,Jimmy Vesey,8476918,Left Wing,L
10,Damon Severson,8476923,Defenseman,D
11,Andreas Johnsson,8477341,Left Wing,L
12,Mason Geertsen,8477419,Defenseman,D
13,Ryan Graves,8477435,Defenseman,D
14,Jonas Siegenthaler,8478399,Defenseman,D
15,Pavel Zacha,8478401,Center,C
16,Colton White,8478841,Defenseman,D
17,Christian Jaros,8478868,Defenseman,D
18,Jesper Bratt,8479407,Left Wing,L
19,Nathan Bastian,8479414,Right Wing,R
20,Michael McLeod,8479415,Center,C
21,Nico Hischier,8480002,Center,C
22,Jesper Boqvist,8480003,Center,C
23,Ty Smith,8480883,Defenseman,D
24,Yegor Sharangovich,8481068,Center,C
25,Jack Hughes,8481559,Center,C
26,Nico Daws,8482076,Goalie,G
27,Dawson Mercer,8482110,Center,C
28,Zdeno Chara,8465009,Defenseman,D
29,Zach Parise,8470610,Left Wing,L
30,Andy Greene,8472382,Defenseman,D
31,Cal Clutterbuck,8473504,Right Wing,R
32,Semyon Varlamov,8473575,Goalie,G
33,Josh Bailey,8474573,Right Wing,R
34,Matt Martin,8474709,Left Wing,L
35,Kyle Palmieri,8475151,Right Wing,R
36,Casey Cizikas,8475231,Center,C
37,Anders Lee,8475314,Left Wing,L
38,Brock Nelson,8475754,Center,C
39,Jean-Gabriel Pageau,8476419,Center,C
40,Scott Mayfield,8476429,Defenseman,D
41,Adam Pelech,8476917,Defenseman,D
42,Ryan Pulock,8477506,Defenseman,D
43,Ross Johnston,8477527,Left Wing,L
44,Ilya Sorokin,8478009,Goalie,G
45,Mathew Barzal,8478445,Center,C
46,Anthony Beauvillier,8478463,Left Wing,L
47,Kieffer Bellows,8479356,Left Wing,L
48,Sebastian Aho,8480222,Defenseman,D
49,Oliver Wahlstrom,8480789,Right Wing,R
50,Noah Dobson,8480865,Defenseman,D
51,Sammy Blais,8478104,Left Wing,L
52,Kevin Rooney,8479291,Center,C
53,Kaapo Kakko,8481554,Right Wing,R
54,Ryan Reaves,8471817,Right Wing,R
55,Chris Kreider,8475184,Left Wing,L
56,Greg McKegg,8475735,Center,C
57,Patrik Nemeth,8475747,Defenseman,D
58,Ryan Strome,8476458,Center,C
59,Mika Zibanejad,8476459,Center,C
60,Barclay Goodrow,8476624,Center,C
61,Jacob Trouba,8476885,Defenseman,D
62,Jonny Brodzinski,8477380,Center,C
63,Igor Shesterkin,8478048,Goalie,G
64,Dryden Hunt,8478211,Left Wing,L
65,Artemi Panarin,8478550,Left Wing,L
66,Adam Fox,8479323,Defenseman,D
