,feature,imp
48,home_SV%,0.4773675369933468
47,home_SH%,0.37702666526101813
34,home_SCF%,0.04794162317248758
32,home_SCF,0.010226421297902138
39,home_HDGF,0.008109910016547884
37,home_HDSF,0.007405902009390715
38,home_HDSA,0.006337822694717646
40,home_HDGA,0.004832187504840251
44,home_MDSF,0.004766460352510057
17,home_Fenwick%_SVA_TeamMoingAverage_40,0.004274365424879568
46,home_LDCA,0.003799416560441752
6,home_xGF%_SVA_TeamMoingAverage_40,0.003370547686501837
33,home_SCA,0.002873989907339775
43,home_MDCF%,0.002502202602411292
51,guest_MDSF,0.0023620129258189932
23,guest_CA_SVA_TeamMoingAverage_40,0.002175528267328703
3,home_SFGF%_SVA_TeamMoingAverage_40,0.001990848389405632
9,home_HDCSV%__GoalKeeper,0.0018650330473037196
30,home_team_label,0.0015873472158320684
31,away_team_label,0.0014848186000215383
19,guest_Fenwick%_SVA_TeamMoingAverage_40,0.0014004907871232103
1,home_GF%_SVA_TeamMoingAverage_40,0.001339009225027613
20,home_GF_Average_Average_pp_TeamMoingAverage_40,0.0012794151882422927
10,guest_GF_Average_Average_pp_TeamMoingAverage_40,0.0012217656086748378
35,home_HDCF,0.0012092144103172228
45,home_LDCF,0.0012063365761968885
15,guest_HDCSV%__GoalKeeper,0.0011968070436300616
36,home_HDCA,0.0011928831342958477
27,guest_fwkSV%_GoalKeeper,0.0011699042824332773
22,home_CA_SVA_TeamMoingAverage_40,0.0010866675241699962
4,home_GSAx/60_GoalKeeper,0.0010580261373279518
26,home_HDCSV%__GoalKeeper,0.0010552843873339868
8,home_GA_Average_Average_pk_TeamMoingAverage_40,0.0010189541560036257
52,guest_LDSH%,0.0010041053552711553
25,home_GSAx/60_GoalKeeper,0.000984981620256784
18,guest_fwkSV%_GoalKeeper,0.000973203901316011
41,home_MDCF,0.0009017726787977273
42,home_MDCA,0.0008800094166316407
0,home_xGF_Average_pp_TeamMoingAverage_40,0.000851654526916771
16,guest_xGA_Average_pk_TeamMoingAverage_40,0.0008364903306250872
21,guest_GA_Average_Average_pk_TeamMoingAverage_40,0.0007237674203045295
2,home_xGA_Average_pk_TeamMoingAverage_40,0.000685702946144794
29,guest_HDCSV%__GoalKeeper,0.0006570236522949402
28,guest_GSAx/60_GoalKeeper,0.0004909254950564648
5,guest_GSAx/60_GoalKeeper,0.00048436842305968255
12,guest_GF%_SVA_TeamMoingAverage_40,0.0004517873481326637
7,guest_xGF_Average_pp_TeamMoingAverage_40,0.0004465078879944194
11,guest_xGF%_SVA_TeamMoingAverage_40,0.00039466721549746007
13,guest_SFGF%_SVA_TeamMoingAverage_40,0.0002903485132579299
14,home_fwkSV%_GoalKeeper,0.00028842551049440904
24,home_fwkSV%_GoalKeeper,0.0002602578291433027
49,home_LDSH%,0.0002555690534735686
50,home_LDGA,0.00024599879866123566
53,guest_LDGA,0.0001478817938342013
