date_of_fight,idk_column,player1_name,player1_team,player2_name,player2_team,winner
04/09/00,3 Pd 7:47,Dale Purinton,NYR,Keith Primeau,PHI,Voted winner: Keith Primeau (50%) - Voted rating: 4
04/09/00,3 Pd 10:1,Andre Roy,OTT,Cory Sarich,TBL,Voted winner: Draw (50%) - Voted rating: 0
04/09/00,1 Pd 6:13,Andre Roy,OTT,Kyle Freadrich,TBL,Voted winner: Kyle Freadrich (100%) - Voted rating: 5
04/08/00,3 Pd 19:37,Clarke Wilm,CAL,Dan LaCouture,EDM,Voted winner: Draw (50%) - Voted rating: 0
04/08/00,1 Pd 15:18,D.J. Smith,TOR,Gordie Dwyer,TBL,Voted winner: Gordie Dwyer (100%) - Voted rating: 10
04/08/00,2 Pd 18:59,Gerald Diduck,TOR,Gordie Dwyer,TBL,Voted winner: Gordie Dwyer (50%) - Voted rating: 5.5
04/08/00,3 Pd 6:48,Kevyn Adams,TOR,Cory Sarich,TBL,Voted winner: Cory Sarich (100%) - Voted rating: 6
04/07/00,3 Pd 5:55,Brad Werenka,CAL,Jeff Odgers,COL,Voted winner: Draw (50%) - Voted rating: 0
04/07/00,1 Pd 17:45,Scott Walker,NSH,Jason Marshall,ANA,Voted winner: Draw (50%) - Voted rating: 0
04/07/00,3 Pd 10:40,Kelly Chase,STL,Bob Probert,CHI,Voted winner: Draw (50%) - Voted rating: 0
04/07/00,3 Pd 5:45,Rudy Poeschek,STL,Ryan VandenBussche,CHI,Voted winner: Rudy Poeschek (100%) - Voted rating: 4
04/06/00,3 Pd 1:53,Sheldon Souray,MON,Gordie Dwyer,TBL,Voted winner: Draw (50%) - Voted rating: 0
04/06/00,3 Pd 15:25,Dainius Zubrus,MON,Ben Clymer,TBL,Voted winner: Draw (50%) - Voted rating: 0
04/05/00,2 Pd 2:18,Jason Strudwick,VAN,Kelly Buchberger,LAK,Voted winner: Draw (50%) - Voted rating: 7
04/05/00,1 Pd 3:12,Georges Laraque,EDM,Chris Dingman,COL,Voted winner: Draw (50%) - Voted rating: 0
04/05/00,2 Pd 1:50,Darcy Tucker,TOR,Matthew Barnaby,PIT,Voted winner: Darcy Tucker (37.9%) - Voted rating: 8.03
04/04/00,1 Pd 12:57,Gordie Dwyer,TBL,Darren Van Impe,BOS,Voted winner: Gordie Dwyer (100%) - Voted rating: 5
04/03/00,3 Pd 5:17,Peter Worrell,FLA,Colin White,NJD,Voted winner: Colin White (33.3%) - Voted rating: 5
