,Game,Team,TOI,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,SCGF,SCGA,SCGF%,HDCF,HDCA,HDCF%,HDGF,HDGA,HDGF%,MDCF,MDCA,MDCF%,MDGF,MDGA,MDGF%,LDCF,LDCA,LDCF%,LDGF,LDGA,LDGF%,On-Ice SH%,On-Ice SV%,PDO,Off. Zone Starts,Neu. Zone Starts,Def. Zone Starts,On The Fly Starts,Off. Zone Start %,Off. Zone Faceoffs,Neu. Zone Faceoffs,Def. Zone Faceoffs,Off. Zone Faceoff %,id,fullName
0,2019-11-30 NSH at FLA,FLA,60.0,59,57,50.86,41,38,51.9,28,27,50.91,3,0,100.0,2.69,2.01,57.26,24,25,48.98,3,0,100.00,12,7,63.16,3,0,100.00,12,18,40.0,0,0,-,26,23,53.06,0,0,-,10.71,100.0,1.107,0,3,0,0,-,14,13,27,34.15,8473575,Semyon Varlamov
1,2019-12-03 MIN at FLA,FLA,58.016666666667,70,41,63.06,63,31,67.02,46,25,64.79,2,3,40.0,3.02,1.63,64.9,28,18,60.87,1,3,25.00,9,8,52.94,0,1,0.00,19,10,65.52,1,2,33.33,38,22,63.33,1,0,100.00,4.35,88.0,0.923,0,4,0,0,-,26,14,13,66.67,8473575,Semyon Varlamov
2,2019-12-21 FLA at CAR,FLA,60.0,34,84,28.81,29,61,32.22,22,44,33.33,4,2,66.67,2.48,4.23,36.98,19,48,28.36,3,2,60.00,10,21,32.26,2,1,66.67,9,27,25.0,1,1,50.00,12,28,30.0,1,0,100.00,18.18,95.45,1.136,0,3,0,0,-,12,18,31,27.91,8473575,Semyon Varlamov
3,2019-12-28 DET at FLA,FLA,59.983333333333,56,70,44.44,43,51,45.74,30,39,43.48,5,4,55.56,2.33,3.17,42.36,21,29,42.0,5,4,55.56,5,11,31.25,2,3,40.00,16,18,47.06,3,1,75.00,31,33,48.44,0,0,-,16.67,89.74,1.064,1,3,0,0,100.00,18,23,22,45.0,8473575,Semyon Varlamov
4,2020-01-04 FLA at BUF,FLA,32.333333333333,27,22,55.1,22,15,59.46,15,11,57.69,1,0,100.0,0.93,0.62,60.02,8,10,44.44,0,0,-,3,2,60.0,0,0,-,5,8,38.46,0,0,-,17,11,60.71,1,0,100.00,6.67,100.0,1.067,0,3,1,0,0.00,17,7,7,70.83,8473575,Semyon Varlamov
5,2020-01-05 FLA at PIT,FLA,60.0,63,50,55.75,43,38,53.09,35,32,52.24,4,1,80.0,3.27,2.78,54.09,27,32,45.76,4,1,80.00,13,11,54.17,3,1,75.00,14,21,40.0,1,0,100.00,29,16,64.44,0,0,-,11.43,96.88,1.083,0,3,0,0,-,15,22,17,46.88,8473575,Semyon Varlamov
6,2020-01-07 ARI at FLA,FLA,58.933333333333,69,51,57.5,56,43,56.57,38,36,51.35,2,4,33.33,2.71,2.52,51.76,22,24,47.83,1,4,20.00,8,12,40.0,1,3,25.00,14,12,53.85,0,1,0.00,42,19,68.85,0,0,-,5.26,88.89,0.942,2,4,0,0,100.00,28,22,21,57.14,8473575,Semyon Varlamov
7,2020-01-12 TOR at FLA,FLA,59.916666666667,43,76,36.13,39,58,40.21,28,47,37.33,8,4,66.67,2.57,4.73,35.2,21,40,34.43,6,4,60.00,11,21,34.38,5,3,62.50,10,19,34.48,1,1,50.00,21,31,40.38,2,0,100.00,28.57,91.49,1.201,1,3,0,0,100.00,14,24,33,29.79,8473575,Semyon Varlamov
8,2020-01-16 L.A at FLA,FLA,10.083333333333,10,9,52.63,6,7,46.15,4,4,50.0,1,0,100.0,0.3,0.24,55.19,2,4,33.33,1,0,100.00,1,0,100.0,1,0,100.00,1,4,20.0,0,0,-,7,4,63.64,0,0,-,25.0,100.0,1.25,0,1,0,0,-,3,2,1,75.0,8473575,Semyon Varlamov
9,2020-03-05 BOS at FLA,FLA,64.083333333333,64,49,56.64,50,35,58.82,33,28,54.1,1,2,33.33,3.31,2.25,59.51,29,18,61.7,1,1,50.00,15,7,68.18,0,1,0.00,14,11,56.0,1,0,100.00,27,23,54.0,0,1,0.00,3.03,92.86,0.959,1,4,0,0,100.00,22,18,24,47.83,8473575,Semyon Varlamov
10,2020-03-07 MTL at FLA,FLA,59.316666666667,56,57,49.56,43,42,50.59,31,34,47.69,4,1,80.0,2.75,3.48,44.18,25,27,48.08,2,1,66.67,6,12,33.33,2,0,100.00,19,15,55.88,0,1,0.00,24,27,47.06,1,0,100.00,12.9,97.06,1.1,1,3,0,0,100.00,19,17,18,51.35,8473575,Semyon Varlamov
11,2020-03-09 FLA at STL,FLA,60.0,55,58,48.67,40,35,53.33,34,27,55.74,2,1,66.67,2.31,2.19,51.37,25,24,51.02,1,0,100.00,10,10,50.0,0,0,-,15,14,51.72,1,0,100.00,23,30,43.4,1,1,50.00,5.88,96.3,1.022,0,3,0,0,-,20,18,27,42.55,8473575,Semyon Varlamov
12,2021-01-17 CHI at FLA,FLA,60.0,49,50,49.49,41,36,53.25,36,30,54.55,5,2,71.43,2.16,2.19,49.61,19,19,50.0,2,1,66.67,10,4,71.43,1,0,100.00,9,15,37.5,1,1,50.00,25,25,50.0,3,1,75.00,13.89,93.33,1.072,0,3,0,0,-,19,24,17,52.78,8473575,Semyon Varlamov
13,2021-01-28 FLA at CBJ,FLA,65.0,60,59,50.42,47,49,48.96,35,31,53.03,2,2,50.0,2.31,2.16,51.63,21,33,38.89,2,2,50.00,9,6,60.0,2,0,100.00,12,27,30.77,0,2,0.00,38,24,61.29,0,0,-,5.71,93.55,0.993,0,4,0,0,-,10,27,20,33.33,8473575,Semyon Varlamov
14,2021-01-31 FLA at DET,FLA,59.483333333333,51,51,50.0,43,43,50.0,29,34,46.03,2,2,50.0,2.4,2.48,49.18,20,26,43.48,1,2,33.33,8,8,50.0,1,2,33.33,12,18,40.0,0,0,-,24,22,52.17,1,0,100.00,6.9,94.12,1.01,2,4,0,0,100.00,16,15,25,39.02,8473575,Semyon Varlamov
15,2021-02-05 NSH at FLA,FLA,60.0,61,55,52.59,44,39,53.01,36,25,59.02,2,1,66.67,3.47,1.59,68.58,28,19,59.57,2,1,66.67,13,8,61.9,1,1,50.00,15,11,57.69,1,0,100.00,30,32,48.39,0,0,-,5.56,96.0,1.016,0,3,0,0,-,20,16,26,43.48,8473575,Semyon Varlamov
16,2021-02-07 DET at FLA,FLA,59.466666666667,55,50,52.38,43,44,49.43,36,38,48.65,1,3,25.0,1.8,2.1,46.15,27,18,60.0,1,3,25.00,6,7,46.15,0,3,0.00,21,11,65.63,1,0,100.00,28,23,54.9,0,0,-,2.78,92.11,0.949,1,4,0,0,100.00,20,19,16,55.56,8473575,Semyon Varlamov
17,2021-02-15 FLA at T.B,FLA,59.716666666667,34,57,37.36,28,48,36.84,20,31,39.22,5,4,55.56,1.53,2.46,38.34,15,27,35.71,4,3,57.14,5,10,33.33,2,2,50.00,10,17,37.04,2,1,66.67,14,28,33.33,1,1,50.00,25.0,87.1,1.121,1,3,0,0,100.00,16,25,23,41.03,8473575,Semyon Varlamov
18,2021-02-17 FLA at CAR,FLA,62.483333333333,57,65,46.72,47,54,46.53,37,35,51.39,4,3,57.14,2.27,3.71,37.9,24,34,41.38,3,3,50.00,5,16,23.81,2,3,40.00,19,18,51.35,1,0,100.00,28,25,52.83,1,0,100.00,10.81,91.43,1.022,0,4,0,0,-,20,19,28,41.67,8473575,Semyon Varlamov
19,2021-02-19 FLA at DET,FLA,60.0,52,49,51.49,43,44,49.43,39,32,54.93,7,2,77.78,3.47,2.69,56.4,28,21,57.14,6,1,85.71,12,8,60.0,4,0,100.00,16,13,55.17,2,1,66.67,18,23,43.9,1,1,50.00,17.95,93.75,1.117,0,3,0,0,-,20,20,25,44.44,8473575,Semyon Varlamov
20,2021-02-22 DAL at FLA,FLA,59.716666666667,81,34,70.43,64,28,69.57,52,25,67.53,3,1,75.0,4.17,1.38,75.06,32,12,72.73,0,1,0.00,9,4,69.23,0,1,0.00,23,8,74.19,0,0,-,43,19,69.35,2,0,100.00,5.77,96.0,1.018,2,3,0,0,100.00,26,15,16,61.9,8473575,Semyon Varlamov
21,2021-02-24 DAL at FLA,FLA,59.333333333333,64,41,60.95,52,33,61.18,43,25,63.24,0,2,0.0,3.0,1.66,64.45,29,15,65.91,0,1,0.00,11,5,68.75,0,1,0.00,18,10,64.29,0,0,-,30,20,60.0,0,1,0.00,0.0,92.0,0.92,0,4,0,0,-,27,18,20,57.45,8473575,Semyon Varlamov
22,2021-03-01 CAR at FLA,FLA,61.983333333333,63,52,54.78,53,42,55.79,46,31,59.74,2,3,40.0,4.1,1.69,70.78,36,14,72.0,2,2,50.00,18,4,81.82,2,1,66.67,18,10,64.29,0,1,0.00,24,34,41.38,0,1,0.00,4.35,90.32,0.947,0,4,0,0,-,20,19,16,55.56,8473575,Semyon Varlamov
