,Unnamed: 0,Game,Team,TOI,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,SCGF,SCGA,SCGF%,HDCF,HDCA,HDCF%,HDGF,HDGA,HDGF%,MDCF,MDCA,MDCF%,MDGF,MDGA,MDGF%,LDCF,LDCA,LDCF%,LDGF,LDGA,LDGF%,On-Ice SH%,On-Ice SV%,PDO,Off. Zone Starts,Neu. Zone Starts,Def. Zone Starts,On The Fly Starts,Off. Zone Start %,Off. Zone Faceoffs,Neu. Zone Faceoffs,Def. Zone Faceoffs,Off. Zone Faceoff %,id,fullName,Team+day,day,TOI_MovingAverage,SA_MovingAverage,FA_MovingAverage,GA_MovingAverage,xGA_MovingAverage,HDCA_MovingAverage,HDGA_MovingAverage,fwkSV%_GoalKeeper,GSAx_GoalKeeper,GSAx/60_GoalKeeper,HDCSV%__GoalKeeper
0,0,2015-12-12 OTT at MTL,OTT,31.816666666667,37,21,63.79,22,14,61.11,16,11,59.26,1,0,100.0,1.49,1.18,55.93,23,8,74.19,1,0,100.0,9,3,75.0,1,0,100.0,14,5,73.68,0,0,-,8,12,40.0,0,0,-,6.25,100.0,1.063,0,3,0,0,-,13,13,8,61.9,8473541,Jonathan Bernier,OTT + 2015-12-12,2015-12-12,,,,,,,,,,,
1,1,2016-10-28 OTT at CGY,OTT,40.0,43,39,52.44,33,26,55.93,22,15,59.46,0,4,0.0,2.32,1.61,58.95,20,18,52.63,0,3,0.0,9,7,56.25,0,1,0.0,11,11,50.0,0,2,0.00,22,14,61.11,0,1,0.00,0.0,73.33,0.733,0,2,0,0,-,23,10,13,63.89,8473541,Jonathan Bernier,OTT + 2016-10-28,2016-10-28,,,,,,,,,,,
2,0,2015-10-23 WSH at EDM,WSH,59.666666666667,48,55,46.6,37,39,48.68,26,23,53.06,7,4,63.64,2.45,2.56,48.99,26,22,54.17,7,4,63.64,14,9,60.87,6,3,66.67,12,13,48.0,1,1,50.00,17,27,38.64,0,0,-,26.92,82.61,1.095,1,3,0,0,100.00,13,26,23,36.11,8473541,Jonathan Bernier,WSH + 2015-10-23,2015-10-23,,,,,,,,,,,
3,1,2015-10-31 WSH at FLA,WSH,63.733333333333,48,44,52.17,36,38,48.65,27,27,50.0,2,1,66.67,1.82,2.45,42.66,13,25,34.21,2,1,66.67,4,10,28.57,1,0,100.00,9,15,37.5,1,1,50.00,29,19,60.42,0,0,-,7.41,96.30,1.037,0,4,0,0,-,15,22,18,45.45,8473541,Jonathan Bernier,WSH + 2015-10-31,2015-10-31,,,,,,,,,,,
4,2,2015-11-13 CGY at WSH,WSH,61.666666666667,75,55,57.69,48,45,51.61,36,29,55.38,2,3,40.00,2.85,2.59,52.34,33,26,55.93,2,3,40.00,10,9,52.63,2,0,100.00,23,17,57.5,0,3,0.00,38,23,62.3,0,0,-,5.56,89.66,0.952,0,4,0,0,-,22,23,20,52.38,8473541,Jonathan Bernier,WSH + 2015-11-13,2015-11-13,,,,,,,,,,,
5,3,2015-11-19 DAL at WSH,WSH,58.683333333333,65,60,52.0,47,43,52.22,33,31,51.56,2,3,40.00,3.05,2.55,54.50,39,33,54.17,2,3,40.00,14,11,56.00,2,2,50.00,25,22,53.19,0,1,0.00,23,21,52.27,0,0,-,6.06,90.32,0.964,0,3,0,0,-,21,17,16,56.76,8473541,Jonathan Bernier,WSH + 2015-11-19,2015-11-19,,,,,,,,,,,
6,4,2015-12-10 WSH at FLA,WSH,56.916666666667,48,49,49.48,33,39,45.83,18,25,41.86,0,3,0.00,1.94,1.91,50.40,21,22,48.84,0,1,0.00,5,9,35.71,0,1,0.00,16,13,55.17,0,0,-,20,26,43.48,0,2,0.00,0.0,88.00,0.880,0,5,0,0,-,17,19,21,44.74,8473541,Jonathan Bernier,WSH + 2015-12-10,2015-12-10,,,,,,,,,,,
7,5,2015-12-18 T.B at WSH,WSH,30.933333333333,24,26,48.0,16,14,53.33,11,7,61.11,5,0,100.00,1.21,0.41,74.48,9,6,60.0,3,0,100.00,2,0,100.00,2,0,100.00,7,6,53.85,1,0,100.00,12,19,38.71,1,0,100.00,45.45,100.00,1.455,0,2,0,0,-,7,13,5,58.33,8473541,Jonathan Bernier,WSH + 2015-12-18,2015-12-18,,,,,,,,,,,
8,6,2015-12-21 WSH at CAR,WSH,60.0,48,80,37.5,35,53,39.77,21,32,39.62,2,1,66.67,2.47,3.82,39.34,24,47,33.8,2,1,66.67,11,19,36.67,2,1,66.67,13,28,31.71,0,0,-,19,28,40.43,0,0,-,9.52,96.88,1.064,0,3,0,0,-,11,13,19,36.67,8473541,Jonathan Bernier,WSH + 2015-12-21,2015-12-21,,,,,,,,,,,
9,7,2015-12-31 WSH at CAR,WSH,59.15,52,68,43.33,44,50,46.81,32,36,47.06,2,3,40.00,2.65,4.58,36.67,27,38,41.54,2,3,40.00,13,19,40.63,0,2,0.00,14,19,42.42,2,1,66.67,24,26,48.0,0,0,-,6.25,91.67,0.979,0,4,0,0,-,13,24,22,37.14,8473541,Jonathan Bernier,WSH + 2015-12-31,2015-12-31,,,,,,,,,,,
