,fullName,id,position,position_code
0,Jonathan Bernier,8473541,Goalie,G
1,Mackenzie Blackwood,8478406,Goalie,G
5,Jon Gillies,8476903,Goalie,G
8,Andrew Hammond,8477202,Goalie,G
25,Nico Daws,8482076,Goalie,G
31,Semyon Varlamov,8473575,Goalie,G
43,Ilya Sorokin,8478009,Goalie,G
66,Igor Shesterkin,8478048,Goalie,G
75,Alexandar Georgiev,8480382,Goalie,G
85,Martin Jones,8474889,Goalie,G
96,Carter Hart,8479394,Goalie,G
119,Tristan Jarry,8477465,Goalie,G
127,Casey DeSmith,8479193,Goalie,G
142,Linus Ullmark,8476999,Goalie,G
154,Jeremy Swayman,8480280,Goalie,G
156,Malcolm Subban,8476876,Goalie,G
158,Craig Anderson,8467950,Goalie,G
160,Dustin Tokarski,8474682,Goalie,G
184,Carey Price,8471679,Goalie,G
188,Jake Allen,8474596,Goalie,G
201,Sam Montembeault,8478470,Goalie,G
213,Matt Murray,8476899,Goalie,G
221,Anton Forsberg,8476341,Goalie,G
236,Mads Sogaard,8481544,Goalie,G
240,Petr Mrazek,8475852,Goalie,G
251,Jack Campbell,8475789,Goalie,G
259,Erik Kallgren,8478902,Goalie,G
272,Frederik Andersen,8475883,Goalie,G
278,Antti Raanta,8477293,Goalie,G
290,Jonas Johansson,8477992,Goalie,G
297,Sergei Bobrovsky,8475683,Goalie,G
315,Spencer Knight,8481519,Goalie,G
318,Brian Elliott,8470880,Goalie,G
327,Andrei Vasilevskiy,8476883,Goalie,G
358,Vitek Vanecek,8477970,Goalie,G
359,Ilya Samsonov,8478492,Goalie,G
383,Collin Delia,8480420,Goalie,G
385,Kevin Lankinen,8480947,Goalie,G
393,Thomas Greiss,8471306,Goalie,G
396,Calvin Pickard,8475717,Goalie,G
404,Alex Nedeljkovic,8477968,Goalie,G
428,Juuse Saros,8477424,Goalie,G
436,David Rittich,8479496,Goalie,G
450,Jordan Binnington,8476412,Goalie,G
458,Ville Husso,8478024,Goalie,G
470,Jacob Markstrom,8474593,Goalie,G
486,Dan Vladar,8478435,Goalie,G
496,Darcy Kuemper,8475311,Goalie,G
511,Pavel Francouz,8480925,Goalie,G
518,Mike Smith,8469608,Goalie,G
522,Mikko Koskinen,8475156,Goalie,G
544,Jaroslav Halak,8470860,Goalie,G
556,Thatcher Demko,8477967,Goalie,G
575,John Gibson,8476434,Goalie,G
576,Anthony Stolarz,8476932,Goalie,G
592,Braden Holtby,8474651,Goalie,G
599,Scott Wedgewood,8475809,Goalie,G
610,Jake Oettinger,8479979,Goalie,G
626,Jonathan Quick,8471734,Goalie,G
629,Cal Petersen,8477361,Goalie,G
648,James Reimer,8473503,Goalie,G
655,Kaapo Kahkonen,8478039,Goalie,G
658,Adin Hill,8478499,Goalie,G
673,Daniil Tarasov,8480193,Goalie,G
676,J-F Berube,8475234,Goalie,G
679,Joonas Korpisalo,8476914,Goalie,G
681,Elvis Merzlikins,8478007,Goalie,G
699,Marc-Andre Fleury,8470594,Goalie,G
706,Cam Talbot,8475660,Goalie,G
732,Connor Hellebuyck,8476945,Goalie,G
735,Eric Comrie,8477480,Goalie,G
754,Ivan Prosvetov,8481031,Goalie,G
760,Harri Sateri,8474667,Goalie,G
770,Karel Vejmelka,8478872,Goalie,G
787,Robin Lehner,8475215,Goalie,G
788,Laurent Brossoit,8476316,Goalie,G
806,Logan Thompson,8480313,Goalie,G
813,Philipp Grubauer,8475831,Goalie,G
819,Chris Driedger,8476904,Goalie,G
