,0
0,guest_SCF
1,home_SV%
2,guest_LDSF
3,home_SF
4,home_LDSV%
5,guest_TOI_Average_pp_TeamMoingAverage_40
6,guest_HDSH%
7,guest_xGF_Average_pp_TeamMoingAverage_40
8,guest_xGA_pk_TeamMoingAverage_40
9,guest_GSAx/60_GoalKeeper
10,home_LDSF
11,home_team_label
12,home_CF%
13,guest_MDGF%
14,guest_HDSF
15,home_GA
16,home_xGA_pk
17,guest_FF
18,guest_HDCF%
19,guest_GA_pk_TeamMoingAverage_40
20,guest_LDCA
21,guest_GF_SVA_TeamMoingAverage_40
22,guest_SF
23,guest_LDCF%
24,guest_LDSV%
25,guest_FA
26,guest_SA_SVA_TeamMoingAverage_40
27,home_xGF%
28,guest_LDGF%
29,home_HDCF
30,home_HDSH%
31,home_LDSF%
32,home_HDGA
33,home_xGA_SVA_TeamMoingAverage_40
34,guest_xGF%_SVA_TeamMoingAverage_40
35,home_HDSF%
36,home_xGF_pp
37,guest_GA
38,guest_LDGF
39,guest_MDSF%
40,home_MDGF%
41,guest_CF
42,guest_FF%
43,home_HDSF
44,home_SH%
45,home_MDSH%
46,guest_CA
47,home_SA_SVA_TeamMoingAverage_40
48,guest_MDCF%
49,home_SCF
50,away_team_label
51,home_GF%_SVA_TeamMoingAverage_40
52,guest_MDGA
53,guest_HDGA
54,home_HDSV%
55,guest_HDGF%
56,home_GF_Average_Average_pp_TeamMoingAverage_40
57,home_LDGF
58,home_GA_Average_Average_pk_TeamMoingAverage_40
59,home_LDGF%
60,guest_GF%
61,guest_SFGF%_SVA_TeamMoingAverage_40
62,home_MDGA
63,home_xGF%_SVA_TeamMoingAverage_40
64,guest_SF_SVA_TeamMoingAverage_40
65,home_HDCSV%__GoalKeeper
66,guest_HDCF
67,guest_HDCSV%__GoalKeeper
68,home_MDCF
69,home_MDCA
70,home_GSAx/60_GoalKeeper
71,home_CA_SVA_TeamMoingAverage_40
72,guest_FA_SVA_TeamMoingAverage_40
73,home_HDCF%
74,home_xGF_Average_pp_TeamMoingAverage_40
75,home_FF_SVA_TeamMoingAverage_40
76,home_fwkSV%_GoalKeeper
77,guest_MDSV%
78,home_SF%
79,home_MDSV%
80,guest_xGF%
81,home_LDCA
82,home_PDO
83,home_FA_SVA_TeamMoingAverage_40
84,home_SFGF%_SVA_TeamMoingAverage_40
85,match_BacktoBack
86,guest_fwkSV%_GoalKeeper
87,home_SF_SVA_TeamMoingAverage_40
88,home_MDSF
89,home_SCF%
90,guest_Fenwick%_SVA_TeamMoingAverage_40
91,home_Fenwick%_SVA_TeamMoingAverage_40
92,guest_MDSF
93,guest_HDSV%
94,home_GF%
95,guest_CA_SVA_TeamMoingAverage_40
96,home_HDGF%
97,guest_FF_SVA_TeamMoingAverage_40
98,guest_MDSH%
99,guest_GF%_SVA_TeamMoingAverage_40
100,guest_HDSF%
