,Shots X coordinates,Shots Y coordinates,Goals X coordinates,Goals Y coordinates
0,32.0,2.0,86.0,0.0
1,59.0,20.0,84.0,2.0
2,42.0,29.0,83.0,5.0
3,52.0,7.0,65.0,-20.0
4,38.0,-38.0,78.0,-9.0
5,76.0,14.0,59.0,-24.0
6,63.0,31.0,54.0,1.0
7,78.0,-13.0,86.0,8.0
8,32.0,-34.0,40.0,-16.0
9,80.0,4.0,81.0,-4.0
10,64.0,-24.0,40.0,11.0
11,45.0,41.0,80.0,-3.0
12,41.0,34.0,40.0,0.0
13,62.0,19.0,72.0,18.0
14,81.0,-1.0,64.0,-20.0
15,56.0,-23.0,58.0,9.0
16,43.0,9.0,46.0,6.0
17,37.0,-31.0,70.0,-18.0
18,35.0,-38.0,65.0,-7.0
19,45.0,21.0,71.0,10.0
20,12.0,-10.0,84.0,-2.0
21,58.0,17.0,72.0,2.0
22,57.0,-22.0,76.0,-17.0
23,86.0,-9.0,77.0,11.0
24,60.0,-1.0,72.0,-19.0
25,45.0,-22.0,74.0,-9.0
26,29.0,21.0,87.0,-6.0
27,33.0,25.0,47.0,16.0
28,89.0,-25.0,78.0,-10.0
29,56.0,15.0,81.0,4.0
30,68.0,25.0,50.0,-7.0
31,67.0,-19.0,82.0,-3.0
32,70.0,-23.0,80.0,-4.0
33,62.0,-11.0,84.0,9.0
34,59.0,21.0,86.0,6.0
35,66.0,41.0,54.0,-6.0
36,62.0,26.0,71.0,-5.0
37,80.0,-7.0,57.0,-10.0
38,32.0,-31.0,81.0,-12.0
39,59.0,20.0,85.0,6.0
40,74.0,-3.0,69.0,2.0
41,81.0,-1.0,75.0,-11.0
42,81.0,-16.0,57.0,-14.0
43,56.0,-14.0,38.0,10.0
44,88.0,-7.0,80.0,-7.0
45,84.0,-5.0,66.0,12.0
46,13.0,-35.0,68.0,-19.0
47,87.0,-9.0,83.0,-0.0
48,56.0,-11.0,66.0,1.0
49,33.0,33.0,56.0,-8.0
50,36.0,36.0,80.0,-12.0
51,64.0,1.0,70.0,4.0
52,36.0,-23.0,89.0,5.0
53,49.0,3.0,85.0,-5.0
54,81.0,1.0,84.0,14.0
55,81.0,-8.0,57.0,-2.0
56,56.0,4.0,,
57,6.0,-16.0,,
58,86.0,-27.0,,
59,72.0,-14.0,,
60,84.0,-16.0,,
61,71.0,-18.0,,
62,67.0,-7.0,,
63,73.0,-27.0,,
64,67.0,10.0,,
65,76.0,8.0,,
66,57.0,-0.0,,
67,73.0,-19.0,,
68,42.0,-29.0,,
69,81.0,-16.0,,
70,78.0,13.0,,
71,68.0,9.0,,
72,59.0,22.0,,
73,78.0,-13.0,,
74,79.0,-6.0,,
75,60.0,-12.0,,
76,85.0,-23.0,,
77,53.0,32.0,,
78,76.0,-7.0,,
79,77.0,-15.0,,
80,53.0,25.0,,
81,70.0,-2.0,,
82,67.0,-9.0,,
83,62.0,-10.0,,
84,30.0,-41.0,,
85,68.0,-16.0,,
86,68.0,-20.0,,
87,79.0,6.0,,
88,84.0,5.0,,
89,74.0,-29.0,,
90,84.0,-13.0,,
91,76.0,-3.0,,
92,79.0,3.0,,
93,87.0,6.0,,
94,51.0,9.0,,
95,76.0,-0.0,,
96,67.0,9.0,,
97,64.0,-26.0,,
