,Fights in current match,Goals by home team in current match,Goals by home team in next match,Goals by home team in next to next match,Home Corsi For % in current match,Home Corsi For % in next match,Home Corsi For % in next to next match,Home Fenwick For % in current match,Home Fenwick For % in next match,Home Fenwick For % in next to next match,Home High Danger Scoring Chances % in current match,Home High Danger Scoring Chances % in next match,Home High Danger Scoring Chances % in next to next match,Home attendance in current match,Home attendance in next match,Home attendance in next to match,Home team won in current match,Home team won in next match,Home team won in next to next match
Fights in current match,1,0.288675135,0.707673146,0,-0.326829373,0.136975009,0.755853676,-0.171517918,0.170084184,0.44384832,0.509848263,0.405793905,0.188475728,0.333183351,0.21981073,-0.143137917,0.25819889,0.353553391,0.25819889
Goals by home team in current match,0.288675135,1,0.098058068,-0.377964473,-0.051000133,0.054883223,0.420000947,0.410208071,0.053150153,0.21124689,0.373678518,0.059617776,0.19953919,-0.114895845,0.471529969,0.01573528,0.894427191,-2.27E-17,0.447213595
Goals by home team in next match,0.707673146,0.098058068,1,0.518874522,-0.298225316,-0.079404684,0.715724854,-0.223255654,0.123886212,0.596434752,0.375345037,0.251993859,0.698705096,0.081489825,-0.39827292,-0.023449573,-0.02192645,0.600480577,0.592014163
Goals by home team in next to next match,0,-0.377964473,0.518874522,1,-0.385710714,0.162459718,0.294067329,-0.427190932,0.450447989,0.607582906,0.128785385,0.372047839,0.768379909,-0.063330382,-0.86959405,0.587320749,-0.591607978,0.540061725,0.591607978
Home Corsi For % in current match,-0.326829373,-0.051000133,-0.298225316,-0.385710714,1,0.276866498,-0.770745632,0.853251789,0.076938191,-0.888716049,0.021698483,-0.225049721,-0.224684347,-0.342439084,-0.107663422,-0.256433065,0.299950249,-0.042444806,-0.156428822
Home Corsi For % in next match,0.136975009,0.054883223,-0.079404684,0.162459718,0.276866498,1,-0.162411792,0.453032241,0.94333369,-0.082910016,0.314016727,0.802264496,0.085878339,-0.339872016,-0.233646482,0.399185229,0.081410053,0.093927651,0.273634984
Home Corsi For % in next to next match,0.755853676,0.420000947,0.715724854,0.294067329,-0.770745632,-0.162411792,1,-0.507920861,0.037048954,0.878878441,0.403931833,0.282290087,0.493331581,0.342344487,0.113291832,0.149682211,0.157554386,0.37551725,0.505499542
Home Fenwick For % in current match,-0.171517918,0.410208071,-0.223255654,-0.427190932,0.853251789,0.453032241,-0.507920861,1,0.2781083,-0.636660931,0.116042372,0.047623953,-0.081984688,-0.550069912,0.036991792,-0.184733559,0.612663334,-0.120341877,0.107204207
Home Fenwick For % in next match,0.170084184,0.053150153,0.123886212,0.450447989,0.076938191,0.94333369,0.037048954,0.2781083,1,0.18648492,0.404475353,0.840353245,0.380966622,-0.293648004,-0.439227481,0.594238081,-0.011884736,0.298927148,0.521092512
Home Fenwick For % in next to next match,0.44384832,0.21124689,0.596434752,0.607582906,-0.888716049,-0.082910016,0.878878441,-0.636660931,0.18648492,1,0.177221638,0.410852727,0.598746031,0.136442924,-0.174750912,0.368911251,-0.171314017,0.290242484,0.547587772
Home High Danger Scoring Chances % in current match,0.509848263,0.373678518,0.375345037,0.128785385,0.021698483,0.314016727,0.403931833,0.116042372,0.404475353,0.177221638,1,0.103054956,0.505604789,0.536556075,-0.059316359,0.560492689,0.5068328,0.833113508,0.659213723
Home High Danger Scoring Chances % in next match,0.405793905,0.059617776,0.251993859,0.372047839,-0.225049721,0.802264496,0.282290087,0.047623953,0.840353245,0.410852727,0.103054956,1,0.193749691,-0.38529617,-0.220695384,0.250367575,-0.142901005,-0.018907661,0.297311935
Home High Danger Scoring Chances % in next to next match,0.188475728,0.19953919,0.698705096,0.768379909,-0.224684347,0.085878339,0.493331581,-0.081984688,0.380966622,0.598746031,0.505604789,0.193749691,1,-0.028324314,-0.686582988,0.56504187,0.032693175,0.761562489,0.941852544
Home attendance in current match,0.333183351,-0.114895845,0.081489825,-0.063330382,-0.342439084,-0.339872016,0.342344487,-0.550069912,-0.293648004,0.136442924,0.536556075,-0.38529617,-0.028324314,1,0.278406433,0.266896186,0.032892895,0.494645429,-0.042040623
Home attendance in next match,0.21981073,0.471529969,-0.39827292,-0.86959405,-0.107663422,-0.233646482,0.113291832,0.036991792,-0.439227481,-0.174750912,-0.059316359,-0.220695384,-0.686582988,0.278406433,1,-0.428126423,0.52545318,-0.507745923,-0.503464376
Home attendance in next to match,-0.143137917,0.01573528,-0.023449573,0.587320749,-0.256433065,0.399185229,0.149682211,-0.184733559,0.594238081,0.368911251,0.560492689,0.250367575,0.56504187,0.266896186,-0.428126423,1,-0.066933622,0.58834718,0.62799366
Home team won in current match,0.25819889,0.894427191,-0.02192645,-0.591607978,0.299950249,0.081410053,0.157554386,0.612663334,-0.011884736,-0.171314017,0.5068328,-0.142901005,0.032693175,0.032892895,0.52545318,-0.066933622,1,0.091287093,0.3
Home team won in next match,0.353553391,-2.27E-17,0.600480577,0.540061725,-0.042444806,0.093927651,0.37551725,-0.120341877,0.298927148,0.290242484,0.833113508,-0.018907661,0.761562489,0.494645429,-0.507745923,0.58834718,0.091287093,1,0.730296743
Home team won in next to next match,0.25819889,0.447213595,0.592014163,0.591607978,-0.156428822,0.273634984,0.505499542,0.107204207,0.521092512,0.547587772,0.659213723,0.297311935,0.941852544,-0.042040623,-0.503464376,0.62799366,0.3,0.730296743,1
