,game_id,home_team,away_team,home_score,away_score
0,2015020001,TOR,MTL,1,3
1,2015020002,CHI,NYR,2,3
2,2015020003,CGY,VAN,1,5
3,2015020004,L.A,S.J,1,5
4,2015020005,BOS,WPG,2,6
5,2015020006,BUF,OTT,1,3
6,2015020007,T.B,PHI,3,2
7,2015020008,STL,EDM,3,1
8,2015020009,NSH,CAR,2,1
9,2015020010,DAL,PIT,3,0
10,2015020011,COL,MIN,4,5
11,2015020012,N.J,WPG,1,3
12,2015020013,CBJ,NYR,2,4
13,2015020014,DET,TOR,4,0
14,2015020014,DET,TOR,4,0
15,2015020015,NYI,CHI,2,3
16,2015020016,L.A,ARI,1,4
17,2015020017,BUF,T.B,1,4
18,2015020024,NSH,EDM,2,0
19,2015020018,BOS,MTL,2,4
20,2015020019,TOR,OTT,4,5
21,2015020020,FLA,PHI,7,1
22,2015020021,NYR,CBJ,5,2
23,2015020022,WSH,N.J,5,3
24,2015020023,CAR,DET,3,4
25,2015020025,MIN,STL,3,2
26,2015020026,CHI,NYI,4,1
27,2015020027,COL,DAL,6,3
28,2015020028,VAN,CGY,2,3
29,2015020029,ARI,PIT,2,1
30,2015020030,S.J,ANA,2,0
31,2015020031,OTT,MTL,1,3
32,2015020032,BOS,T.B,3,6
33,2015020033,NYI,WPG,4,2
34,2015020034,BUF,CBJ,4,2
35,2015020035,PHI,FLA,1,0
36,2015020036,ANA,VAN,1,2
37,2015020037,N.J,NSH,1,3
38,2015020038,NYR,WPG,1,4
39,2015020039,PIT,MTL,2,3
40,2015020040,WSH,S.J,0,5
41,2015020041,CAR,FLA,1,4
42,2015020042,DET,T.B,3,1
43,2015020043,DAL,EDM,4,2
44,2015020044,CGY,STL,3,4
45,2015020045,L.A,VAN,0,3
46,2015020046,CBJ,OTT,3,7
47,2015020047,PHI,CHI,3,0
48,2015020048,COL,BOS,2,6
49,2015020049,ANA,ARI,0,4
50,2015020050,NYI,NSH,4,3
51,2015020051,PIT,OTT,2,0
